Clear,Clear,Clear,Alacrity
Clear,Clear,Sepia,Beef
Clear,Sepia,Sepia,Agility
Clear,Clear,Amber,Wisdom of the Glade
Sepia,Sepia,Sepia,Expertise
Clear,Sepia,Amber,Thief's Craft
Clear,Clear,Verdant,Prowess
Sepia,Sepia,Amber,Proficiency
Clear,Sepia,Verdant,Ancestral Knowledge
Clear,Amber,Amber,Might
Sepia,Sepia,Verdant,Fending
Sepia,Amber,Amber,Hard Knocks
Clear,Clear,Teal,Physique
Clear,Amber,Verdant,Arcane Vision
Clear,Sepia,Teal,Diamond Skin
Sepia,Amber,Verdant,Path of the Savant
Amber,Amber,Amber,Path of the Warrior
Clear,Verdant,Verdant,Path of the Hunter
Sepia,Sepia,Teal,Righteous Decree
Clear,Amber,Teal,Ironwood
Sepia,Verdant,Verdant,Fusillade
Amber,Amber,Verdant,Quickstep
Sepia,Amber,Teal,Weathered Hunter
Clear,Clear,Azure,Cloth and Chain
Clear,Verdant,Teal,Solidity
Amber,Verdant,Verdant,Aspect of the Eagle
Clear,Sepia,Azure,Dynamo
Sepia,Verdant,Teal,Decay Ward
Amber,Amber,Teal,Thrill Seeker
Sepia,Sepia,Azure,Aspect of the Panther
Verdant,Verdant,Verdant,Spirit Void
Clear,Amber,Azure,Poisonous Fangs
Clear,Teal,Teal,Saboteur
Amber,Verdant,Teal,Depth Perception
Sepia,Amber,Azure,Elemental Focus
Sepia,Teal,Teal,Deep Wisdom
Clear,Verdant,Azure,Martial Experience
Verdant,Verdant,Teal,Fury Bolts
Sepia,Verdant,Azure,Battle Rouse
Amber,Amber,Azure,Hasty Reconstruction
Amber,Teal,Teal,Sanctuary
Clear,Clear,Violet,Practical Application
Clear,Teal,Azure,Words of Glory
Amber,Verdant,Azure,Executioner
Verdant,Teal,Teal,Mind Drinker
Clear,Sepia,Violet,Freedom of Movement
Sepia,Teal,Azure,Dreamer
Sepia,Sepia,Violet,Aligned Spirits
Verdant,Verdant,Azure,Arsonist
Clear,Amber,Violet,Weapon Artistry
Amber,Teal,Azure,Unpredictable Offensive
Teal,Teal,Teal,Mystic Bulwark
Sepia,Amber,Violet,Shamanistic Fury
Clear,Verdant,Violet,Deep Thoughts
Clear,Azure,Azure,Prodigal Perfection
Verdant,Teal,Azure,Sentinel
Sepia,Verdant,Violet,Heavy Draw
Sepia,Azure,Azure,Claws of the Magpie
Amber,Amber,Violet,Harvester of Foes
Clear,Teal,Violet,Splitting Strikes
Amber,Verdant,Violet,Silent Steps
Amber,Azure,Azure,Explosive Runes
Teal,Teal,Azure,Steelwood Stance
Sepia,Teal,Violet,Efficient Explosives
Verdant,Verdant,Violet,Totemic Zeal
Verdant,Azure,Azure,Bone Breaker
Amber,Teal,Violet,Gemini
Clear,Azure,Violet,Expeditious Munitions
Verdant,Teal,Violet,Razor's Edge
Teal,Azure,Azure,Red Storm
Sepia,Azure,Violet,Honed Edge
Amber,Azure,Violet,Kinetic Impacts
Teal,Teal,Violet,Elder Power
Clear,Clear,Crimson,Successive Detonations
Verdant,Azure,Violet,Forceful Skewering
Azure,Azure,Azure,Slaughter
Clear,Sepia,Crimson,Galvanic Hammer
Sepia,Sepia,Crimson,Magmatic Strikes
Clear,Amber,Crimson,Toxic Strikes
Clear,Violet,Violet,Pain Forger
Teal,Azure,Violet,Sacrifice
Sepia,Amber,Crimson,Entropy
Sepia,Violet,Violet,Grave Intentions
Clear,Verdant,Crimson,Blast Waves
Sepia,Verdant,Crimson,Master Fletcher
Amber,Amber,Crimson,Bladedancer
Amber,Violet,Violet,Claws of the Pride
Clear,Teal,Crimson,Ophidian Aim
Amber,Verdant,Crimson,Primal Manifestation
Verdant,Violet,Violet,Spinecruncher
Azure,Azure,Violet,Smashing Strikes
Sepia,Teal,Crimson,Utmost Swiftness
Verdant,Verdant,Crimson,Farsight
Amber,Teal,Crimson,Whirling Barrier
Teal,Violet,Violet,Unstable Munitions
Clear,Azure,Crimson,From the Shadows
Verdant,Teal,Crimson,Hatchet Master
Sepia,Azure,Crimson,Clever Construction
Amber,Azure,Crimson,Utmost Might
Teal,Teal,Crimson,Wandslinger
Azure,Violet,Violet,Bludgeon Blitz
Verdant,Azure,Crimson,Flash Freeze
Clear,Violet,Crimson,Flaying
Teal,Azure,Crimson,Fearsome Force
Sepia,Violet,Crimson,Redemption
Amber,Violet,Crimson,Utmost Intellect
Violet,Violet,Violet,Enigmatic Defence
Verdant,Violet,Crimson,Butchery
Azure,Azure,Crimson,Holy Dominion
Teal,Violet,Crimson,Static Blows
Azure,Violet,Crimson,Light Eater
Clear,Crimson,Crimson,Shaper
Clear,Clear,Black,Annihilation
Sepia,Crimson,Crimson,Ash, Frost and Storm
Clear,Sepia,Black,Testudo
Sepia,Sepia,Black,Lightning Walker
Amber,Crimson,Crimson,Nimbleness
Violet,Violet,Crimson,Aspect of the Lynx
Clear,Amber,Black,Exceptional Performance
Sepia,Amber,Black,Cleaving
Verdant,Crimson,Crimson,Arcane Focus
Clear,Verdant,Black,Combat Stamina
Sepia,Verdant,Black,Will of Blades
Amber,Amber,Black,Divine Fury
Teal,Crimson,Crimson,Heartseeker
Clear,Teal,Black,Arcane Guarding
Amber,Verdant,Black,Reflexes
Sepia,Teal,Black,Divine Judgement
Verdant,Verdant,Black,Trickery
Amber,Teal,Black,Defiance
Azure,Crimson,Crimson,Harrier
Clear,Azure,Black,Twin Terrors
Verdant,Teal,Black,Enigmatic Reach
Sepia,Azure,Black,Snowforged
Amber,Azure,Black,Ambidexterity
Teal,Teal,Black,Warrior's Blood
Verdant,Azure,Black,Command of the Elements
Violet,Crimson,Crimson,Light of Divinity
Clear,Violet,Black,Acuity
Teal,Azure,Black,Finesse
Sepia,Violet,Black,Mental Rapidity
Amber,Violet,Black,Revelry
Verdant,Violet,Black,Aggressive Bastion
Azure,Azure,Black,Sanctity
Teal,Violet,Black,Essence Sap
Azure,Violet,Black,Adamant
Crimson,Crimson,Crimson,Coldhearted Calculation
Clear,Crimson,Black,Arcanist's Dominion
Clear,Clear,Opalescent,Eagle Eye
Sepia,Crimson,Black,Storm Weaver
Clear,Sepia,Opalescent,Berserking
Sepia,Sepia,Opalescent,Potency of Will
Amber,Crimson,Black,Coordination
Violet,Violet,Black,Graceful Assault
Clear,Amber,Opalescent,Brinkmanship
Sepia,Amber,Opalescent,Fleetfoot
Verdant,Crimson,Black,Precise Interception
Clear,Verdant,Opalescent,Blast Radius
Sepia,Verdant,Opalescent,Destroyer
Amber,Amber,Opalescent,Divine Wrath
Teal,Crimson,Black,True Strike
Clear,Teal,Opalescent,Wrecking Ball
Amber,Verdant,Opalescent,Titanic Impacts
Sepia,Teal,Opalescent,Deflection
Verdant,Verdant,Opalescent,Versatility
Amber,Teal,Opalescent,Juggernaut
Azure,Crimson,Black,Dervish
Clear,Azure,Opalescent,Strong Arm
Verdant,Teal,Opalescent,Sleight of Hand
Sepia,Azure,Opalescent,Battle Cry
Amber,Azure,Opalescent,Amplify
Teal,Teal,Opalescent,Dazzling Strikes
Verdant,Azure,Opalescent,Explosive Impact
Violet,Crimson,Black,Fire Walker
